klavye keyboard
fare mouse
ekran screen
masa table
sandalye chair
koltuk seat
hali carpet
kapi door
dolap cabinet
yatak bed
lamba lamp
komidin nightstand
kaplumbaga turtle
sandik chest
cuzdan wallet
sarki song
kasa safe
mum candle
vitrin showcase
buzdolabi fridge
surat face
kitap book
kalem pen
yumurta egg
saat clock
kayisi apricot
elma apple
armut pear
ayi bear
kedi cat
kopek dog
volkan volcano
aslan lion
kaplan tiger
sogan onion
patates potato
bal honey
uzum grapes
domates tomato
biber pepper
fincan cup
tabak plate
tencere pot
bicak knife
catal fork
kasik spoon
bahce garden
araba car
ucak plane
gemi ship
savas war
barýs peace
perde curtain
harita map
pecete napkins
su water
cay tea
portakal orange
siyah black
beyaz white 
mavi blue
yeþil green
firin oven
ayakkabi shoe
zaman time
kablo cable
asker soldier
sofor driver
ogretmen teacher
muhendis engineers
agac tree
orman forest
gol lake
deniz sea
ada island
kus bird
pelerin cloak
yagmur rain
gunes sun
ay moon
kazak sweater
eski old
yeni new
cakmak lighter
korsan pirates
polis police
pasta pie
iyi good
kotu bad
cirkin ugly
yildiz star
buyu magic
madalya medal
imparator emperor
kalkan shield
utu iron
adam man
orumcek spider
kutu box
odev homework
